Function,Algorithm,Mean,Std,Best,Median,Worst,TotalTimeSec,AvgTimePerRunSec,Rank
F1,PSO,74507307616.9349,18085409455.9597,41561675330.4521,73456329563.2406,113103549445.406,95.9273773,3.19757924333333,3
F1,GWO,19229680087.2062,2226997137.94737,15622385817.2022,18848602204.5194,25824568694.6645,106.4654023,3.54884674333333,2
F1,WSO,247868723806.489,30721232513.116,163154668082.261,249615432359.792,297364074021.925,117.0879779,3.90293259666667,4
F1,SBOA,3300.00437514289,3724.00581805467,112.276568074137,1926.8894774484,14141.4381750439,158.8159006,5.29386335333333,1
F3,PSO,212608.46587182,73885.3607994473,85731.256227118,205037.005291308,362896.464094904,84.7615931,2.82538643666667,3
F3,GWO,164686.629084502,14284.0334176739,129240.070995814,163703.897047222,194626.338591026,106.7795454,3.55931818,2
F3,WSO,495944.075239954,54970.422063464,352000.145674272,492867.42429993,577868.797003255,115.491594,3.8497198,4
F3,SBOA,37608.323897166,13447.2492919188,18132.7561181518,36446.737196378,67043.0325111856,161.250831,5.3750277,1
F4,PSO,13623.4803153482,6424.57329962094,3912.47988575594,13211.4893045832,32469.0957425081,87.647679,2.9215893,3
F4,GWO,2122.06778109876,259.270749264342,1691.89188697095,2093.00318829829,2986.31638142312,106.6772749,3.55590916333333,2
F4,WSO,92545.1676478557,14831.9870569353,65135.8711277569,90135.9964101215,123329.784687514,116.527806,3.8842602,4
F4,SBOA,522.151342619941,34.8010814573442,496.772424729135,502.599629164881,591.760689055959,156.748391,5.22494636666667,1
F5,PSO,964.842001337606,64.365316392865,835.287421045418,969.065734896933,1075.67365538578,115.8349644,3.86116548,3
F5,GWO,961.043510836442,17.174214698533,923.382849221649,960.911650114257,991.878443559935,136.549005,4.5516335,2
F5,WSO,1692.15354882186,69.9059407377856,1486.1976251597,1706.82193716216,1803.65717355679,150.8998949,5.02999649666667,4
F5,SBOA,592.197791747556,22.2757011859898,555.717685023914,591.536197979708,657.183943917394,189.139029,6.3046343,1
F6,PSO,654.908599632651,12.3419170099762,630.440531871556,654.004394747182,675.992059270539,203.667485,6.78891616666667,3
F6,GWO,648.653531493338,2.05860286460852,644.325139972542,649.073545678176,651.813704082981,229.9178325,7.66392775,2
F6,WSO,750.628814181728,6.21771723941051,740.487563713876,750.914412734665,763.227717031157,234.1818848,7.80606282666667,4
F6,SBOA,600.318386195528,0.145367790444818,600.070630943781,600.279218491647,600.621391352848,283.0276981,9.43425660333333,1
F7,PSO,1968.56489677034,364.431157483105,1343.07378450431,1982.59763776445,2736.90849417939,123.2658895,4.10886298333333,3
F7,GWO,1342.54094556089,33.2184544994272,1272.19723997494,1343.18412575269,1409.96143172705,151.0289013,5.03429671,2
F7,WSO,5970.59837111018,397.843013246151,5204.43879800379,6039.265654912,6637.12735783343,157.90757,5.26358566666667,4
F7,SBOA,854.133191838805,24.7787553371258,811.353391373456,850.021645752495,914.627454079808,195.4039962,6.51346654,1
F8,PSO,1282.65463887568,65.3891114610618,1181.05496118209,1277.72543363726,1418.9269960587,120.110422,4.00368073333333,3
F8,GWO,1272.18114598805,18.4970653397396,1229.92786532409,1277.22900715677,1302.06206592744,140.7161687,4.69053895666667,2
F8,WSO,1976.9900891883,73.1981636539257,1806.98483085005,1974.29203332974,2148.9329115182,147.8550524,4.92850174666667,4
F8,SBOA,883.414204702249,22.0244658282096,851.738041149808,877.643522721686,933.291426039837,201.8687856,6.72895952,1
F9,PSO,17288.4145898399,4732.07757845539,8781.84224611788,17181.0364604296,29438.5205778047,124.6972123,4.15657374333333,3
F9,GWO,11096.4711271061,1556.38368542006,7334.2656232824,11027.6944608693,15386.4256315275,146.9142581,4.89714193666667,2
F9,WSO,95616.1777932873,8729.01246886635,70884.9406590384,94872.9375168333,108157.141390515,146.7936777,4.89312259,4
F9,SBOA,955.325490698113,33.4342689616957,912.627271240081,945.449842585405,1040.45448477845,190.6976494,6.35658831333333,1
F10,PSO,9851.87791472222,1162.78218617042,7416.96177036523,9846.94364505396,11697.1978910788,143.2702646,4.77567548666667,2
F10,GWO,11413.4703395138,579.157284103908,10030.4336612374,11330.9551553643,12402.6913766995,158.6565565,5.28855188333333,3
F10,WSO,15570.3916994316,331.971669183031,14801.4596301618,15637.4084928656,16073.7398542363,171.3423579,5.71141193,4
F10,SBOA,7546.15268915337,923.68254274942,5598.7799589403,7708.17168234482,9330.07051692407,223.1952168,7.43984056,1
F11,PSO,10640.2021188159,9590.03652954938,3006.68877477507,7583.5588876287,52648.1033870025,100.9341519,3.36447173,3
F11,GWO,7693.32569841903,1421.44230253456,6187.65328577431,7357.53506653982,12931.4762492104,121.6582119,4.05527373,2
F11,WSO,64615.9123341431,9032.12892581571,38797.2446054171,64890.0132907595,83584.4439368329,136.2996575,4.54332191666667,4
F11,SBOA,1315.8361774692,72.3164509348399,1209.98393094778,1310.03197962293,1460.65976825929,176.0237834,5.86745944666667,1
F12,PSO,18799098496.3824,7965082500.22683,4895480172.69562,18907948149.3181,36429761918.0454,117.8341149,3.92780383,3
F12,GWO,5160010810.5197,993061195.372009,3265648220.4526,5313078270.63889,7625804195.95243,136.4076599,4.54692199666667,2
F12,WSO,93946982954.9745,13306110102.8825,70543725194.9292,94660176879.6051,118264692948.261,158.1203421,5.27067807,4
F12,SBOA,2264179.00201491,1283950.65178208,701417.609704018,1927142.94408048,5601293.34957292,194.1906907,6.47302302333333,1
F13,PSO,6934146128.9793,5777287778.96245,32534497.6695696,6488594449.32461,22999362610.7824,103.2494977,3.44164992333333,3
F13,GWO,1402906065.65379,124865403.664364,967841411.111286,1476693526.76051,1476693583.91286,122.3330553,4.07776851,2
F13,WSO,39178314994.3176,8261843457.31256,18218136250.7178,39711752447.5763,53734750027.0686,140.9206003,4.69735334333333,4
F13,SBOA,35465.8873505642,12796.0035766138,8484.12323735222,38333.5631434797,65715.1741249979,175.2032654,5.84010884666667,1
F14,PSO,6086582.552661,10452993.3608189,73469.703310469,2523058.76764765,54762578.9856702,138.4298565,4.61432855,3
F14,GWO,1965730.76891583,1083305.09936452,367639.142698592,2005754.80371172,4066709.37486491,163.949843,5.46499476666667,2
F14,WSO,29626806.7397858,11672760.3603219,8807734.58204462,30970237.8206252,56327163.1135698,174.8760242,5.82920080666667,4
F14,SBOA,79847.160101467,70237.3621480005,6892.30117402861,53996.5121792897,273544.364485488,216.0823534,7.20274511333333,1
F15,PSO,575099333.718957,1084683362.39773,96473.8111609921,418375908.121006,4903711180.39446,99.7027736,3.32342578666667,3
